provider,id,user_id,name,provider_user_id,email,role
1,1,01JABCDE1234567890ABCDEFG1,,prov-1-000001,user@example.com,ADMIN
2,2,01JABCDE1234567890ABCDEFG2,userS,prov-2-000002,,ADMIN
2,3,01JABCDE1234567890ABCDEFG3,,prov-2-000003,userA@example.com,ADMIN
1,4,71HFE865V215DE1CTEWH0AVNH9,u4,prov-1-000004,u4@example.com,ADMIN
1,5,DN65R6PPG2X7R5JQC42EJ5E6RH,u5,prov-1-000005,,ADMIN
2,6,XQAQPDH4AFAXRHEM3E2MSH4DMD,u6,prov-2-000006,u6@example.com,ADMIN
2,7,ZSX9G8FGVSQE8Z5379AV4RRXG0,u7,prov-2-000007,u7@example.com,ADMIN
2,8,7HN7JVAX0GB6KC9QA0MZ17QKF3,u8,prov-2-000008,u8@example.com,ADMIN
0,9,F55Z488YAGVDCKSQWW7FE4N1EE,u9,prov-0-000009,,ADMIN
2,10,043E42N4FHZD8YFYTC66VPVTX3,u10,prov-2-000010,u10@example.com,ADMIN
2,11,63SN6FCCW8VBHXF4W6305FATZY,,prov-2-000011,u11@example.com,ADMIN
0,12,DS3AR0RGXJVZ9CJD33M33YA35B,,prov-0-000012,,ADMIN
2,13,44FS7F25TMGDMFGS8KXM40X64D,u13,prov-2-000013,u13@example.com,ADMIN
0,14,G8P4FQJAWK0K68G769HJDNDGZG,u14,prov-0-000014,u14@example.com,ADMIN
2,15,35VH20N8GAWV07492Q9V82KQ2P,u15,prov-2-000015,,ADMIN
0,16,DF6PT9FABT1BNTFHA6R2YECXPK,u16,prov-0-000016,,ADMIN
1,17,EE1CSNH4HPSN17GBG26VPMV7RC,u17,prov-1-000017,u17@example.com,ADMIN
2,18,G2V0CQV4NM7KKTMSJ8CTRBKS0K,,prov-2-000018,u18@example.com,ADMIN
1,19,JDVMXWWDYA5JN5FKEC912FY4XT,u19,prov-1-000019,u19@example.com,ADMIN
2,20,CRZSF906VEBX3F7X8XMWVWAYWG,u20,prov-2-000020,u20@example.com,ADMIN
0,21,FHZFHW4JFHNM589ER9D4TTNXT3,u21,prov-0-000021,,ADMIN
1,22,DTR1RY0PKRTEZEHVZ1RNSAX81S,u22,prov-1-000022,u22@example.com,ADMIN
0,23,15V8XB3GRMDXMNRHTG5Y13PE42,u23,prov-0-000023,,ADMIN
2,24,1FC19F8Y7DXGQA7AK61KRSC4F6,,prov-2-000024,,ADMIN
1,25,K72PVQ4N0TZ6VQX9VBHYXVHMF5,u25,prov-1-000025,u25@example.com,ADMIN
1,26,HWFXRN1ZMBZDPGNHH0C5FTZFYZ,u26,prov-1-000026,u26@example.com,ADMIN
2,27,W15JESFKQYPVNPXHKGE7CM7BCD,u27,prov-2-000027,u27@example.com,ADMIN
1,28,YHJ6CJEQBK08H23J8Z60JYYWNB,u28,prov-1-000028,u28@example.com,ADMIN
1,29,3GY74SZ4399K5F7TERWWKVK36D,u29,prov-1-000029,,ADMIN
2,30,DG5AFB4A0TWYJ2EJJX4EGCV7E9,,prov-2-000030,,ADMIN
0,31,H943AKJW7XKSHZW52VMG15E1H2,u31,prov-0-000031,u31@example.com,ADMIN
0,32,BYWHBVZ5YPTNM6ANTZJS2X5MGM,u32,prov-0-000032,u32@example.com,ADMIN
1,33,7S0XT3CQZW3DH8JWZ71FAK0T5E,u33,prov-1-000033,u33@example.com,ADMIN
2,34,7X79ZJHTYYFX9RC84HTNH0JKZ9,,prov-2-000034,u34@example.com,ADMIN
0,35,WYPNRXMCFRET2MYRR9Z28N6W6X,,prov-0-000035,u35@example.com,ADMIN
0,36,09T94YGNS5NRMZ24FJE5V66WAK,u36,prov-0-000036,u36@example.com,ADMIN
1,37,12M3JPQV9FTBAB5RFZ9EXGXG0X,u37,prov-1-000037,u37@example.com,ADMIN
1,38,JA4WPKVGXKCRY6FRPJJ1SH03ZJ,u38,prov-1-000038,u38@example.com,ADMIN
